Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Place Name,Time Period,Start_Date,Data Value
164869,383,Sulfur Dioxide (SO2),Mean,ppb,Highbridge and Concourse (CD4),Winter 2008-09,12/01/2008,10.39
164870,383,Sulfur Dioxide (SO2),Mean,ppb,Fordham and University Heights (CD5),Winter 2008-09,12/01/2008,12.69
164886,383,Sulfur Dioxide (SO2),Mean,ppb,South Crown Heights and Lefferts Gardens (CD9),Winter 2008-09,12/01/2008,4.98
164887,383,Sulfur Dioxide (SO2),Mean,ppb,Bay Ridge and Dyker Heights (CD10),Winter 2008-09,12/01/2008,3.44
164888,383,Sulfur Dioxide (SO2),Mean,ppb,Bensonhurst (CD11),Winter 2008-09,12/01/2008,3.65
164889,383,Sulfur Dioxide (SO2),Mean,ppb,Borough Park (CD12),Winter 2008-09,12/01/2008,4.4
164890,383,Sulfur Dioxide (SO2),Mean,ppb,Coney Island (CD13),Winter 2008-09,12/01/2008,2.94
164891,383,Sulfur Dioxide (SO2),Mean,ppb,Flatbush and Midwood (CD14),Winter 2008-09,12/01/2008,4.71
164892,383,Sulfur Dioxide (SO2),Mean,ppb,Sheepshead Bay (CD15),Winter 2008-09,12/01/2008,3.3
164893,383,Sulfur Dioxide (SO2),Mean,ppb,Brownsville (CD16),Winter 2008-09,12/01/2008,4.29
164894,383,Sulfur Dioxide (SO2),Mean,ppb,East Flatbush (CD17),Winter 2008-09,12/01/2008,4.38
164895,383,Sulfur Dioxide (SO2),Mean,ppb,Flatlands and Canarsie (CD18),Winter 2008-09,12/01/2008,3.23
164896,383,Sulfur Dioxide (SO2),Mean,ppb,Long Island City and Astoria (CD1),Winter 2008-09,12/01/2008,5.05
164897,383,Sulfur Dioxide (SO2),Mean,ppb,Woodside and Sunnyside (CD2),Winter 2008-09,12/01/2008,4.81
164898,383,Sulfur Dioxide (SO2),Mean,ppb,Jackson Heights (CD3),Winter 2008-09,12/01/2008,6.09
164899,383,Sulfur Dioxide (SO2),Mean,ppb,Elmhurst and Corona (CD4),Winter 2008-09,12/01/2008,6.3
164900,383,Sulfur Dioxide (SO2),Mean,ppb,Ridgewood and Maspeth (CD5),Winter 2008-09,12/01/2008,4.06
164901,383,Sulfur Dioxide (SO2),Mean,ppb,Rego Park and Forest Hills (CD6),Winter 2008-09,12/01/2008,5.31
164902,383,Sulfur Dioxide (SO2),Mean,ppb,Flushing and Whitestone (CD7),Winter 2008-09,12/01/2008,4.5
164903,383,Sulfur Dioxide (SO2),Mean,ppb,Hillcrest and Fresh Meadows (CD8),Winter 2008-09,12/01/2008,3.99
164904,383,Sulfur Dioxide (SO2),Mean,ppb,Kew Gardens and Woodhaven (CD9),Winter 2008-09,12/01/2008,4.22
164905,383,Sulfur Dioxide (SO2),Mean,ppb,South Ozone Park and Howard Beach (CD10),Winter 2008-09,12/01/2008,3.37
164906,383,Sulfur Dioxide (SO2),Mean,ppb,Bayside and Little Neck (CD11),Winter 2008-09,12/01/2008,3.73
164907,383,Sulfur Dioxide (SO2),Mean,ppb,Jamaica and Hollis (CD12),Winter 2008-09,12/01/2008,3.43
164908,383,Sulfur Dioxide (SO2),Mean,ppb,Queens Village (CD13),Winter 2008-09,12/01/2008,3.14
164909,383,Sulfur Dioxide (SO2),Mean,ppb,Rockaway and Broad Channel (CD14),Winter 2008-09,12/01/2008,2.38
164910,383,Sulfur Dioxide (SO2),Mean,ppb,St. George and Stapleton (CD1),Winter 2008-09,12/01/2008,2.56
164911,383,Sulfur Dioxide (SO2),Mean,ppb,South Beach and Willowbrook (CD2),Winter 2008-09,12/01/2008,2.18
164912,383,Sulfur Dioxide (SO2),Mean,ppb,Tottenville and Great Kills (CD3),Winter 2008-09,12/01/2008,1.8
164913,383,Sulfur Dioxide (SO2),Mean,ppb,Financial District (CD1),Winter 2009-10,12/01/2009,3.04
164914,383,Sulfur Dioxide (SO2),Mean,ppb,Greenwich Village and Soho (CD2),Winter 2009-10,12/01/2009,5.69
164915,383,Sulfur Dioxide (SO2),Mean,ppb,Lower East Side and Chinatown (CD3),Winter 2009-10,12/01/2009,4.63
164916,383,Sulfur Dioxide (SO2),Mean,ppb,Clinton and Chelsea (CD4),Winter 2009-10,12/01/2009,4.92
164917,383,Sulfur Dioxide (SO2),Mean,ppb,Midtown (CD5),Winter 2009-10,12/01/2009,7.02
164918,383,Sulfur Dioxide (SO2),Mean,ppb,Stuyvesant Town and Turtle Bay (CD6),Winter 2009-10,12/01/2009,6.32
164919,383,Sulfur Dioxide (SO2),Mean,ppb,Upper West Side (CD7),Winter 2009-10,12/01/2009,7.57
164920,383,Sulfur Dioxide (SO2),Mean,ppb,Upper East Side (CD8),Winter 2009-10,12/01/2009,8.46
164921,383,Sulfur Dioxide (SO2),Mean,ppb,Morningside Heights and Hamilton Heights (CD9),Winter 2009-10,12/01/2009,6.26
164922,383,Sulfur Dioxide (SO2),Mean,ppb,Central Harlem (CD10),Winter 2009-10,12/01/2009,5.59
164923,383,Sulfur Dioxide (SO2),Mean,ppb,East Harlem (CD11),Winter 2009-10,12/01/2009,4.84
164924,383,Sulfur Dioxide (SO2),Mean,ppb,Washington Heights and Inwood (CD12),Winter 2009-10,12/01/2009,7.45
164925,383,Sulfur Dioxide (SO2),Mean,ppb,Mott Haven and Melrose (CD1),Winter 2009-10,12/01/2009,3.9
164926,383,Sulfur Dioxide (SO2),Mean,ppb,Hunts Point and Longwood (CD2),Winter 2009-10,12/01/2009,3.45
164927,383,Sulfur Dioxide (SO2),Mean,ppb,Morrisania and Crotona (CD3),Winter 2009-10,12/01/2009,4.66
164928,383,Sulfur Dioxide (SO2),Mean,ppb,Highbridge and Concourse (CD4),Winter 2009-10,12/01/2009,6.9
164929,383,Sulfur Dioxide (SO2),Mean,ppb,Fordham and University Heights (CD5),Winter 2009-10,12/01/2009,8.24
164934,383,Sulfur Dioxide (SO2),Mean,ppb,Throgs Neck and Co-op City (CD10),Winter 2009-10,12/01/2009,2.83
164935,383,Sulfur Dioxide (SO2),Mean,ppb,Morris Park and Bronxdale (CD11),Winter 2009-10,12/01/2009,3.76
164936,383,Sulfur Dioxide (SO2),Mean,ppb,Williamsbridge and Baychester (CD12),Winter 2009-10,12/01/2009,3.59
164937,383,Sulfur Dioxide (SO2),Mean,ppb,Greenpoint and Williamsburg (CD1),Winter 2009-10,12/01/2009,2.99
164938,383,Sulfur Dioxide (SO2),Mean,ppb,Fort Greene and Brooklyn Heights (CD2),Winter 2009-10,12/01/2009,2.86
164939,383,Sulfur Dioxide (SO2),Mean,ppb,Bedford Stuyvesant (CD3),Winter 2009-10,12/01/2009,3.24
164940,383,Sulfur Dioxide (SO2),Mean,ppb,Bushwick (CD4),Winter 2009-10,12/01/2009,3.34
164941,383,Sulfur Dioxide (SO2),Mean,ppb,East New York and Starrett City (CD5),Winter 2009-10,12/01/2009,2.79
164942,383,Sulfur Dioxide (SO2),Mean,ppb,Park Slope and Carroll Gardens (CD6),Winter 2009-10,12/01/2009,2.47
164943,383,Sulfur Dioxide (SO2),Mean,ppb,Sunset Park (CD7),Winter 2009-10,12/01/2009,2.34
164944,383,Sulfur Dioxide (SO2),Mean,ppb,Crown Heights and Prospect Heights (CD8),Winter 2009-10,12/01/2009,3.23
164945,383,Sulfur Dioxide (SO2),Mean,ppb,South Crown Heights and Lefferts Gardens (CD9),Winter 2009-10,12/01/2009,3.36
164946,383,Sulfur Dioxide (SO2),Mean,ppb,Bay Ridge and Dyker Heights (CD10),Winter 2009-10,12/01/2009,2.09
164947,383,Sulfur Dioxide (SO2),Mean,ppb,Bensonhurst (CD11),Winter 2009-10,12/01/2009,2.35
164948,383,Sulfur Dioxide (SO2),Mean,ppb,Borough Park (CD12),Winter 2009-10,12/01/2009,2.82
164949,383,Sulfur Dioxide (SO2),Mean,ppb,Coney Island (CD13),Winter 2009-10,12/01/2009,1.98
164950,383,Sulfur Dioxide (SO2),Mean,ppb,Flatbush and Midwood (CD14),Winter 2009-10,12/01/2009,3.14
164951,383,Sulfur Dioxide (SO2),Mean,ppb,Sheepshead Bay (CD15),Winter 2009-10,12/01/2009,2.29
164952,383,Sulfur Dioxide (SO2),Mean,ppb,Brownsville (CD16),Winter 2009-10,12/01/2009,3.06
164953,383,Sulfur Dioxide (SO2),Mean,ppb,East Flatbush (CD17),Winter 2009-10,12/01/2009,3.02
164954,383,Sulfur Dioxide (SO2),Mean,ppb,Flatlands and Canarsie (CD18),Winter 2009-10,12/01/2009,2.33
164955,383,Sulfur Dioxide (SO2),Mean,ppb,Long Island City and Astoria (CD1),Winter 2009-10,12/01/2009,3.58
164956,383,Sulfur Dioxide (SO2),Mean,ppb,Woodside and Sunnyside (CD2),Winter 2009-10,12/01/2009,3.43
164957,383,Sulfur Dioxide (SO2),Mean,ppb,Jackson Heights (CD3),Winter 2009-10,12/01/2009,4.32
164958,383,Sulfur Dioxide (SO2),Mean,ppb,Elmhurst and Corona (CD4),Winter 2009-10,12/01/2009,4.51
164959,383,Sulfur Dioxide (SO2),Mean,ppb,Ridgewood and Maspeth (CD5),Winter 2009-10,12/01/2009,2.94
164960,383,Sulfur Dioxide (SO2),Mean,ppb,Rego Park and Forest Hills (CD6),Winter 2009-10,12/01/2009,3.83
164961,383,Sulfur Dioxide (SO2),Mean,ppb,Flushing and Whitestone (CD7),Winter 2009-10,12/01/2009,3.03
164962,383,Sulfur Dioxide (SO2),Mean,ppb,Hillcrest and Fresh Meadows (CD8),Winter 2009-10,12/01/2009,2.77
164963,383,Sulfur Dioxide (SO2),Mean,ppb,Kew Gardens and Woodhaven (CD9),Winter 2009-10,12/01/2009,3.1
164964,383,Sulfur Dioxide (SO2),Mean,ppb,South Ozone Park and Howard Beach (CD10),Winter 2009-10,12/01/2009,2.53
164965,383,Sulfur Dioxide (SO2),Mean,ppb,Bayside and Little Neck (CD11),Winter 2009-10,12/01/2009,2.44
164966,383,Sulfur Dioxide (SO2),Mean,ppb,Jamaica and Hollis (CD12),Winter 2009-10,12/01/2009,2.47
164967,383,Sulfur Dioxide (SO2),Mean,ppb,Queens Village (CD13),Winter 2009-10,12/01/2009,2.19
164968,383,Sulfur Dioxide (SO2),Mean,ppb,Rockaway and Broad Channel (CD14),Winter 2009-10,12/01/2009,1.89
164969,383,Sulfur Dioxide (SO2),Mean,ppb,St. George and Stapleton (CD1),Winter 2009-10,12/01/2009,1.42
164970,383,Sulfur Dioxide (SO2),Mean,ppb,South Beach and Willowbrook (CD2),Winter 2009-10,12/01/2009,1.21
164971,383,Sulfur Dioxide (SO2),Mean,ppb,Tottenville and Great Kills (CD3),Winter 2009-10,12/01/2009,0.98
164972,383,Sulfur Dioxide (SO2),Mean,ppb,Financial District (CD1),Winter 2010-11,12/01/2010,3.96
164973,383,Sulfur Dioxide (SO2),Mean,ppb,Greenwich Village and Soho (CD2),Winter 2010-11,12/01/2010,7.27
164974,383,Sulfur Dioxide (SO2),Mean,ppb,Lower East Side and Chinatown (CD3),Winter 2010-11,12/01/2010,5.89
164975,383,Sulfur Dioxide (SO2),Mean,ppb,Clinton and Chelsea (CD4),Winter 2010-11,12/01/2010,6.19
164976,383,Sulfur Dioxide (SO2),Mean,ppb,Midtown (CD5),Winter 2010-11,12/01/2010,8.76
164977,383,Sulfur Dioxide (SO2),Mean,ppb,Stuyvesant Town and Turtle Bay (CD6),Winter 2010-11,12/01/2010,7.87
164978,383,Sulfur Dioxide (SO2),Mean,ppb,Upper West Side (CD7),Winter 2010-11,12/01/2010,9.42
164979,383,Sulfur Dioxide (SO2),Mean,ppb,Upper East Side (CD8),Winter 2010-11,12/01/2010,10.45
164980,383,Sulfur Dioxide (SO2),Mean,ppb,Morningside Heights and Hamilton Heights (CD9),Winter 2010-11,12/01/2010,7.89
164981,383,Sulfur Dioxide (SO2),Mean,ppb,Central Harlem (CD10),Winter 2010-11,12/01/2010,7.04
164982,383,Sulfur Dioxide (SO2),Mean,ppb,East Harlem (CD11),Winter 2010-11,12/01/2010,6.04
164983,383,Sulfur Dioxide (SO2),Mean,ppb,Washington Heights and Inwood (CD12),Winter 2010-11,12/01/2010,9.51
164984,383,Sulfur Dioxide (SO2),Mean,ppb,Mott Haven and Melrose (CD1),Winter 2010-11,12/01/2010,4.93
164985,383,Sulfur Dioxide (SO2),Mean,ppb,Hunts Point and Longwood (CD2),Winter 2010-11,12/01/2010,4.4
164986,383,Sulfur Dioxide (SO2),Mean,ppb,Morrisania and Crotona (CD3),Winter 2010-11,12/01/2010,5.95
164987,383,Sulfur Dioxide (SO2),Mean,ppb,Highbridge and Concourse (CD4),Winter 2010-11,12/01/2010,8.78
164988,383,Sulfur Dioxide (SO2),Mean,ppb,Fordham and University Heights (CD5),Winter 2010-11,12/01/2010,10.52
164989,383,Sulfur Dioxide (SO2),Mean,ppb,Belmont and East Tremont (CD6),Winter 2010-11,12/01/2010,6.76
164990,383,Sulfur Dioxide (SO2),Mean,ppb,Kingsbridge Heights and Bedford (CD7),Winter 2010-11,12/01/2010,9.53
164991,383,Sulfur Dioxide (SO2),Mean,ppb,Riverdale and Fieldston (CD8),Winter 2010-11,12/01/2010,5.4
164992,383,Sulfur Dioxide (SO2),Mean,ppb,Parkchester and Soundview (CD9),Winter 2010-11,12/01/2010,4.93
164993,383,Sulfur Dioxide (SO2),Mean,ppb,Throgs Neck and Co-op City (CD10),Winter 2010-11,12/01/2010,3.62
164994,383,Sulfur Dioxide (SO2),Mean,ppb,Morris Park and Bronxdale (CD11),Winter 2010-11,12/01/2010,4.79
164995,383,Sulfur Dioxide (SO2),Mean,ppb,Williamsbridge and Baychester (CD12),Winter 2010-11,12/01/2010,4.53
164996,383,Sulfur Dioxide (SO2),Mean,ppb,Greenpoint and Williamsburg (CD1),Winter 2010-11,12/01/2010,3.72
164997,383,Sulfur Dioxide (SO2),Mean,ppb,Fort Greene and Brooklyn Heights (CD2),Winter 2010-11,12/01/2010,3.67
164998,383,Sulfur Dioxide (SO2),Mean,ppb,Bedford Stuyvesant (CD3),Winter 2010-11,12/01/2010,4.02
164999,383,Sulfur Dioxide (SO2),Mean,ppb,Bushwick (CD4),Winter 2010-11,12/01/2010,4.09
165000,383,Sulfur Dioxide (SO2),Mean,ppb,East New York and Starrett City (CD5),Winter 2010-11,12/01/2010,3.26
165001,383,Sulfur Dioxide (SO2),Mean,ppb,Park Slope and Carroll Gardens (CD6),Winter 2010-11,12/01/2010,3.23
165002,383,Sulfur Dioxide (SO2),Mean,ppb,Sunset Park (CD7),Winter 2010-11,12/01/2010,3.07
165003,383,Sulfur Dioxide (SO2),Mean,ppb,Crown Heights and Prospect Heights (CD8),Winter 2010-11,12/01/2010,4.02
165004,383,Sulfur Dioxide (SO2),Mean,ppb,South Crown Heights and Lefferts Gardens (CD9),Winter 2010-11,12/01/2010,4.15
165005,383,Sulfur Dioxide (SO2),Mean,ppb,Bay Ridge and Dyker Heights (CD10),Winter 2010-11,12/01/2010,2.78
165006,383,Sulfur Dioxide (SO2),Mean,ppb,Bensonhurst (CD11),Winter 2010-11,12/01/2010,2.94
165007,383,Sulfur Dioxide (SO2),Mean,ppb,Borough Park (CD12),Winter 2010-11,12/01/2010,3.57
165008,383,Sulfur Dioxide (SO2),Mean,ppb,Coney Island (CD13),Winter 2010-11,12/01/2010,2.37
165009,383,Sulfur Dioxide (SO2),Mean,ppb,Flatbush and Midwood (CD14),Winter 2010-11,12/01/2010,3.84
165010,383,Sulfur Dioxide (SO2),Mean,ppb,Sheepshead Bay (CD15),Winter 2010-11,12/01/2010,2.66
165011,383,Sulfur Dioxide (SO2),Mean,ppb,Brownsville (CD16),Winter 2010-11,12/01/2010,3.67
165012,383,Sulfur Dioxide (SO2),Mean,ppb,East Flatbush (CD17),Winter 2010-11,12/01/2010,3.64
165013,383,Sulfur Dioxide (SO2),Mean,ppb,Flatlands and Canarsie (CD18),Winter 2010-11,12/01/2010,2.67
165014,383,Sulfur Dioxide (SO2),Mean,ppb,Long Island City and Astoria (CD1),Winter 2010-11,12/01/2010,4.46
165015,383,Sulfur Dioxide (SO2),Mean,ppb,Woodside and Sunnyside (CD2),Winter 2010-11,12/01/2010,4.25
165016,383,Sulfur Dioxide (SO2),Mean,ppb,Jackson Heights (CD3),Winter 2010-11,12/01/2010,5.43
165017,383,Sulfur Dioxide (SO2),Mean,ppb,Elmhurst and Corona (CD4),Winter 2010-11,12/01/2010,5.64
165018,383,Sulfur Dioxide (SO2),Mean,ppb,Ridgewood and Maspeth (CD5),Winter 2010-11,12/01/2010,3.6
165019,383,Sulfur Dioxide (SO2),Mean,ppb,Rego Park and Forest Hills (CD6),Winter 2010-11,12/01/2010,4.73
165020,383,Sulfur Dioxide (SO2),Mean,ppb,Flushing and Whitestone (CD7),Winter 2010-11,12/01/2010,3.87
165021,383,Sulfur Dioxide (SO2),Mean,ppb,Hillcrest and Fresh Meadows (CD8),Winter 2010-11,12/01/2010,3.42
165022,383,Sulfur Dioxide (SO2),Mean,ppb,Kew Gardens and Woodhaven (CD9),Winter 2010-11,12/01/2010,3.69
165023,383,Sulfur Dioxide (SO2),Mean,ppb,South Ozone Park and Howard Beach (CD10),Winter 2010-11,12/01/2010,2.89
165024,383,Sulfur Dioxide (SO2),Mean,ppb,Bayside and Little Neck (CD11),Winter 2010-11,12/01/2010,3.07
165025,383,Sulfur Dioxide (SO2),Mean,ppb,Jamaica and Hollis (CD12),Winter 2010-11,12/01/2010,2.87
165026,383,Sulfur Dioxide (SO2),Mean,ppb,Queens Village (CD13),Winter 2010-11,12/01/2010,2.52
165027,383,Sulfur Dioxide (SO2),Mean,ppb,Rockaway and Broad Channel (CD14),Winter 2010-11,12/01/2010,1.9
165028,383,Sulfur Dioxide (SO2),Mean,ppb,St. George and Stapleton (CD1),Winter 2010-11,12/01/2010,2.13
165029,383,Sulfur Dioxide (SO2),Mean,ppb,South Beach and Willowbrook (CD2),Winter 2010-11,12/01/2010,1.82
165030,383,Sulfur Dioxide (SO2),Mean,ppb,Tottenville and Great Kills (CD3),Winter 2010-11,12/01/2010,1.52
165031,383,Sulfur Dioxide (SO2),Mean,ppb,Financial District (CD1),Winter 2011-12,12/01/2011,2.25
165032,383,Sulfur Dioxide (SO2),Mean,ppb,Greenwich Village and Soho (CD2),Winter 2011-12,12/01/2011,4.27
165033,383,Sulfur Dioxide (SO2),Mean,ppb,Lower East Side and Chinatown (CD3),Winter 2011-12,12/01/2011,3.32
165034,383,Sulfur Dioxide (SO2),Mean,ppb,Clinton and Chelsea (CD4),Winter 2011-12,12/01/2011,3.81
165035,383,Sulfur Dioxide (SO2),Mean,ppb,Midtown (CD5),Winter 2011-12,12/01/2011,5.28
165036,383,Sulfur Dioxide (SO2),Mean,ppb,Stuyvesant Town and Turtle Bay (CD6),Winter 2011-12,12/01/2011,4.63
165037,383,Sulfur Dioxide (SO2),Mean,ppb,Upper West Side (CD7),Winter 2011-12,12/01/2011,5.99
165038,383,Sulfur Dioxide (SO2),Mean,ppb,Upper East Side (CD8),Winter 2011-12,12/01/2011,6.28
165039,383,Sulfur Dioxide (SO2),Mean,ppb,Morningside Heights and Hamilton Heights (CD9),Winter 2011-12,12/01/2011,5.08
165040,383,Sulfur Dioxide (SO2),Mean,ppb,Central Harlem (CD10),Winter 2011-12,12/01/2011,4.44
165041,383,Sulfur Dioxide (SO2),Mean,ppb,East Harlem (CD11),Winter 2011-12,12/01/2011,3.67
165042,383,Sulfur Dioxide (SO2),Mean,ppb,Washington Heights and Inwood (CD12),Winter 2011-12,12/01/2011,6.32
165043,383,Sulfur Dioxide (SO2),Mean,ppb,Mott Haven and Melrose (CD1),Winter 2011-12,12/01/2011,2.95
165044,383,Sulfur Dioxide (SO2),Mean,ppb,Hunts Point and Longwood (CD2),Winter 2011-12,12/01/2011,2.55
165045,383,Sulfur Dioxide (SO2),Mean,ppb,Morrisania and Crotona (CD3),Winter 2011-12,12/01/2011,3.63
165046,383,Sulfur Dioxide (SO2),Mean,ppb,Highbridge and Concourse (CD4),Winter 2011-12,12/01/2011,5.53
165047,383,Sulfur Dioxide (SO2),Mean,ppb,Fordham and University Heights (CD5),Winter 2011-12,12/01/2011,6.79
165048,383,Sulfur Dioxide (SO2),Mean,ppb,Belmont and East Tremont (CD6),Winter 2011-12,12/01/2011,4.25
165049,383,Sulfur Dioxide (SO2),Mean,ppb,Kingsbridge Heights and Bedford (CD7),Winter 2011-12,12/01/2011,6.31
165050,383,Sulfur Dioxide (SO2),Mean,ppb,Riverdale and Fieldston (CD8),Winter 2011-12,12/01/2011,3.77
165051,383,Sulfur Dioxide (SO2),Mean,ppb,Parkchester and Soundview (CD9),Winter 2011-12,12/01/2011,2.87
165052,383,Sulfur Dioxide (SO2),Mean,ppb,Throgs Neck and Co-op City (CD10),Winter 2011-12,12/01/2011,2.12
165053,383,Sulfur Dioxide (SO2),Mean,ppb,Morris Park and Bronxdale (CD11),Winter 2011-12,12/01/2011,2.97
165054,383,Sulfur Dioxide (SO2),Mean,ppb,Williamsbridge and Baychester (CD12),Winter 2011-12,12/01/2011,3.03
165055,383,Sulfur Dioxide (SO2),Mean,ppb,Greenpoint and Williamsburg (CD1),Winter 2011-12,12/01/2011,1.96
165056,383,Sulfur Dioxide (SO2),Mean,ppb,Fort Greene and Brooklyn Heights (CD2),Winter 2011-12,12/01/2011,1.92
165057,383,Sulfur Dioxide (SO2),Mean,ppb,Bedford Stuyvesant (CD3),Winter 2011-12,12/01/2011,1.99
165058,383,Sulfur Dioxide (SO2),Mean,ppb,Bushwick (CD4),Winter 2011-12,12/01/2011,1.99
165059,383,Sulfur Dioxide (SO2),Mean,ppb,East New York and Starrett City (CD5),Winter 2011-12,12/01/2011,1.52
165060,383,Sulfur Dioxide (SO2),Mean,ppb,Park Slope and Carroll Gardens (CD6),Winter 2011-12,12/01/2011,1.65
165061,383,Sulfur Dioxide (SO2),Mean,ppb,Sunset Park (CD7),Winter 2011-12,12/01/2011,1.5
